,Summary,Safety Issues,Location,Title,Date Occurred,Decision Events,Skill Based Events,Routine Violation,Physical Environment,Technical Environment,Communications,Awareness Cognitive Factors,Inadequate Supervision,Planned Inappropriate Operations,Organizational Processes,Resource Management,Overall Info
345,"​on august 2, 2020, about 1402 local time, the containership cma cgm bianca was loading cargo while moored at the napoleon avenue container terminal in new orleans, louisiana, when a sudden, localized thunderstorm passed through the area. the vessel’s mooring lines parted in the high winds, and the ship moved away from the pier. containers being lifted by shoreside gantry cranes struck the ship, and one damaged container dropped in the water, spilling a cargo of plastic pellets. a crane operator suffered a minor injury; no other injuries were reported among ship and shore personnel. the total cost of damages was estimated at $15 million for the shoreside gantry cranes and $60,196 for the ship.",the national transportation safety board determines that the probable cause of the breakaway of the containership cma cgm bianca from the napoleon avenue container terminal wharf and the ensuing equipment damage was the sudden onset of unforecasted severe winds likely originating from the outflow of a thunderstorm-generated downburst.​,"New Orleans, LA",Breakaway of Containership CMA CGM Bianca,8/2/2020,0,0,0,1,0,0,0,0,0,0,0,"Summary: ​on august 2, 2020, about 1402 local time, the containership cma cgm bianca was loading cargo while moored at the napoleon avenue container terminal in new orleans, louisiana, when a sudden, localized thunderstorm passed through the area. the vessel’s mooring lines parted in the high winds, and the ship moved away from the pier. containers being lifted by shoreside gantry cranes struck the ship, and one damaged container dropped in the water, spilling a cargo of plastic pellets. a crane operator suffered a minor injury; no other injuries were reported among ship and shore personnel. the total cost of damages was estimated at $15 million for the shoreside gantry cranes and $60,196 for the ship. Safety Issues: the national transportation safety board determines that the probable cause of the breakaway of the containership cma cgm bianca from the napoleon avenue container terminal wharf and the ensuing equipment damage was the sudden onset of unforecasted severe winds likely originating from the outflow of a thunderstorm-generated downburst.​"
346,"on february 15, 2016, about 1440, the uninspected fishing vessel capt. david became disabled and began flooding about 40 miles off oregon inlet, north carolina, while attempting to assist another disabled fishing vessel in developing gale conditions. the us coast guard responded by dispatching a shore-based motor lifeboat to assist both fishing vessels. the us navy dock landing ship uss carter hall was operating nearby the stricken vessels and launched its small boat to provide assistance as well. upon the arrival of the navy boat at the capt. david's location, there was physical contact between the vessels and flooding increased on the capt. david. at the urging of the navy crew, the fishing vessel's crew abandoned their vessel into the navy boat about 1615. the fishing vessel later sank, likely the next morning. the crew of the other disabled fishing vessel declined rescue by the navy boat and the vessel was towed back to oregon inlet by the coast guard motor lifeboat several hours later. there were no injuries and no pollution was reported.",​​the probable cause of the flooding and sinking of fishing vessel capt. david was an engine cooling water leak that disabled the vessel during a forecasted small craft advisory and developing gale conditions.​, ,Flooding and Sinking of Fishing Vessel Capt. David,2/15/2016,0,0,0,0,1,0,0,0,0,0,0,"Summary: on february 15, 2016, about 1440, the uninspected fishing vessel capt. david became disabled and began flooding about 40 miles off oregon inlet, north carolina, while attempting to assist another disabled fishing vessel in developing gale conditions. the us coast guard responded by dispatching a shore-based motor lifeboat to assist both fishing vessels. the us navy dock landing ship uss carter hall was operating nearby the stricken vessels and launched its small boat to provide assistance as well. upon the arrival of the navy boat at the capt. david's location, there was physical contact between the vessels and flooding increased on the capt. david. at the urging of the navy crew, the fishing vessel's crew abandoned their vessel into the navy boat about 1615. the fishing vessel later sank, likely the next morning. the crew of the other disabled fishing vessel declined rescue by the navy boat and the vessel was towed back to oregon inlet by the coast guard motor lifeboat several hours later. there were no injuries and no pollution was reported. Safety Issues: ​​the probable cause of the flooding and sinking of fishing vessel capt. david was an engine cooling water leak that disabled the vessel during a forecasted small craft advisory and developing gale conditions.​"
347,"on 4 october 2015 the twin-rig prawn trawler karinya (fr 699) suffered a fire and foundered in the moray firth, scotland. all crew were safely rescued from a liferaft by another fishing vessel. there was no resulting pollution. karinya later sank.",it is possible that a poorly discarded cigarette end that was not fully extinguished fell or was blown down the internal stairway and through the open cabin doorthe fire alarm did not provide the intended early notification of a fire as it could not be heard from the winch control position aft of the wheelhouselifejackets must be stored where they are readily accessible in an emergencythe rapid and controlled abandonment of karinya demonstrates the benefit of conducting regular emergency drills,"Moray Firth, Scotland",Fire and sinking of twin-rig prawn trawler Karinya,4 October 2015,0,0,1,0,1,0,0,0,0,0,0,"Summary: on 4 october 2015 the twin-rig prawn trawler karinya (fr 699) suffered a fire and foundered in the moray firth, scotland. all crew were safely rescued from a liferaft by another fishing vessel. there was no resulting pollution. karinya later sank. Safety Issues: it is possible that a poorly discarded cigarette end that was not fully extinguished fell or was blown down the internal stairway and through the open cabin doorthe fire alarm did not provide the intended early notification of a fire as it could not be heard from the winch control position aft of the wheelhouselifejackets must be stored where they are readily accessible in an emergencythe rapid and controlled abandonment of karinya demonstrates the benefit of conducting regular emergency drills"
348,"the swedish products tanker bro axel, and the belgian registered fishing vessel noordhinder, were involved in a near miss incident in the confines of milford haven on 5 december 2002. subsequently, the avoiding action taken by the tanker resulted in her running aground.","this incident has raised various safety issues relating to the operation of mhpa port control, the use of escort vessels, emergency response training for the holders of pilot exemption certificates (pecs), safety management of fishing vessels and, with regard to fishing vessels and merchant vessels, a discrepancy in the pilotage act.","Port of Milford Haven, Wales",Close-quarters situation between products tanker Bro Axel and beam trawler Noordhinder resulting in Bro Axel grounding,5 December 2002,0,0,0,0,0,0,0,0,0,1,0,"Summary: the swedish products tanker bro axel, and the belgian registered fishing vessel noordhinder, were involved in a near miss incident in the confines of milford haven on 5 december 2002. subsequently, the avoiding action taken by the tanker resulted in her running aground. Safety Issues: this incident has raised various safety issues relating to the operation of mhpa port control, the use of escort vessels, emergency response training for the holders of pilot exemption certificates (pecs), safety management of fishing vessels and, with regard to fishing vessels and merchant vessels, a discrepancy in the pilotage act."
349,"antonis, a greek registered bulk carrier, was being manoeuvred stern-first from the port of liverpool’s langton dock to alexandra dock with a pilot on board. as she entered the passageway between the docks, her stern started to drift towards the eastern wall under the influence of a north-westerly wind. the pilot was unable to counter the drift, and the vessel’s hull, in way of a topside fuel oil tank, made contact with the sharp edge of a counterweight fitted on the open swing bridge. this caused a 1.5 metre gash in the vessel’s side that resulted in about 330 tonnes of fuel oil spilling into the dock system.","although the pilot used the vessel’s rudder and ordered the third tug to push, he was unable to regain control of the vessel and counter the stern’s drift towards the eastern wallprior to the accident, the port authority had not identified that the counterweight on the refurbished bridge posed a hazard to vessels using the passagewaypoor fendering and lighting, and lack of protection for the exposed bridge end had been highlighted previously in meetings between the port authority and pilotage services companyno formal risk assessment had been conducted since the bridge had been refurbished","Langton-Alexandra swing bridge in the Port of Liverpool, England",Contact made by bulk carrier Antonis with swing bridge,11 December 2010,1,1,0,0,0,0,0,0,0,0,1,"Summary: antonis, a greek registered bulk carrier, was being manoeuvred stern-first from the port of liverpool’s langton dock to alexandra dock with a pilot on board. as she entered the passageway between the docks, her stern started to drift towards the eastern wall under the influence of a north-westerly wind. the pilot was unable to counter the drift, and the vessel’s hull, in way of a topside fuel oil tank, made contact with the sharp edge of a counterweight fitted on the open swing bridge. this caused a 1.5 metre gash in the vessel’s side that resulted in about 330 tonnes of fuel oil spilling into the dock system. Safety Issues: although the pilot used the vessel’s rudder and ordered the third tug to push, he was unable to regain control of the vessel and counter the stern’s drift towards the eastern wallprior to the accident, the port authority had not identified that the counterweight on the refurbished bridge posed a hazard to vessels using the passagewaypoor fendering and lighting, and lack of protection for the exposed bridge end had been highlighted previously in meetings between the port authority and pilotage services companyno formal risk assessment had been conducted since the bridge had been refurbished"
350,"at 0654 on 9 march 2014, the master of sea breeze, a barbados registered general cargo ship, contacted falmouth coast guard to report that the ship’s engine room was flooding. a ballast pump in the vessel’s engine room was being maintained when water began to enter the space. the crew were unable to stem the flow and the engine room was evacuated. the crew did not deal effectively with the emergency as they had not been trained. salvors were able to bring the flooding under control and the vessel was initially anchored in st austell bay at 2100 on 10 march before being moved to a berth in fowey. the maib investigation identified a very poor standard of engineering being carried out on a ship in materially poor condition.","the master, who was the officer on watch at the time, was not aware that the work was taking place and no permit to work had been issueda risk assessment had not been completed prior to work commencing, basic contingency preparations were not taken and good engineering practice was not appliedno on board training or drills had been completed, hampering the crew’s ability to respond effectively to the floodingthe crew saw no value in safety management and this was symptomatic of a wider absence of any safety culture both on board and within shipmarthe sea water inlet valve actuator could jam intermittently, giving the impression that the valve was closed when it was not. the actuator had been poorly repaired in the past leaving the worm and quadrant gearing in an unserviceable condition","11.6nm off Lizard Point, Cornwall, England",Flooding and abandonment of general cargo ship Sea Breeze,9 March 2014,1,1,0,0,1,0,1,0,0,1,0,"Summary: at 0654 on 9 march 2014, the master of sea breeze, a barbados registered general cargo ship, contacted falmouth coast guard to report that the ship’s engine room was flooding. a ballast pump in the vessel’s engine room was being maintained when water began to enter the space. the crew were unable to stem the flow and the engine room was evacuated. the crew did not deal effectively with the emergency as they had not been trained. salvors were able to bring the flooding under control and the vessel was initially anchored in st austell bay at 2100 on 10 march before being moved to a berth in fowey. the maib investigation identified a very poor standard of engineering being carried out on a ship in materially poor condition. Safety Issues: the master, who was the officer on watch at the time, was not aware that the work was taking place and no permit to work had been issueda risk assessment had not been completed prior to work commencing, basic contingency preparations were not taken and good engineering practice was not appliedno on board training or drills had been completed, hampering the crew’s ability to respond effectively to the floodingthe crew saw no value in safety management and this was symptomatic of a wider absence of any safety culture both on board and within shipmarthe sea water inlet valve actuator could jam intermittently, giving the impression that the valve was closed when it was not. the actuator had been poorly repaired in the past leaving the worm and quadrant gearing in an unserviceable condition"
351,"on 14 august 2012 while 15 nautical miles north-west of cape wrath, scotland, an experienced recreational diver fell onto the deck of the dive workboat jean elaine. although it was not immediately apparent it is likely that during the fall his diving gear caused significant internal injuries. having been helped back to his feet by the boat’s crew, positive indication was made to continue with the dive and the diver entered the water unaided. during the dive the casualty began an unplanned ascent losing control of his breathing and buoyancy shortly afterwards. despite efforts in the water, on board jean elaine and by emergency services, he was later pronounced dead.","there was a significant risk to divers of tripping and falling when attempting to walk on the deck of a workboat in open sea while fully dressed and equipped for deep ‘technical’ divingthe effects of wearing a large amount of heavy diving equipment can significantly exacerbate the results of what might otherwise be considered a relatively minor fallwhile other incidents underwater have not been considered, it is plausible that lex warner started his unplanned ascent, which led to his death, because he felt unwell as a result of internal injuries suffered during a pre-dive fall.although the skipper was aware of the demands of his working environment, there was no evidence of a formal assessment of the risks to a fully-dressed diver moving from his seated preparation area, to the point of entry into the water","15nm north-west of Cape Wrath, Scotland",Fall on foredeck of dive workboat Jean Elaine with loss of 1 life,14 August 2012,1,0,1,0,0,0,0,0,1,0,0,"Summary: on 14 august 2012 while 15 nautical miles north-west of cape wrath, scotland, an experienced recreational diver fell onto the deck of the dive workboat jean elaine. although it was not immediately apparent it is likely that during the fall his diving gear caused significant internal injuries. having been helped back to his feet by the boat’s crew, positive indication was made to continue with the dive and the diver entered the water unaided. during the dive the casualty began an unplanned ascent losing control of his breathing and buoyancy shortly afterwards. despite efforts in the water, on board jean elaine and by emergency services, he was later pronounced dead. Safety Issues: there was a significant risk to divers of tripping and falling when attempting to walk on the deck of a workboat in open sea while fully dressed and equipped for deep ‘technical’ divingthe effects of wearing a large amount of heavy diving equipment can significantly exacerbate the results of what might otherwise be considered a relatively minor fallwhile other incidents underwater have not been considered, it is plausible that lex warner started his unplanned ascent, which led to his death, because he felt unwell as a result of internal injuries suffered during a pre-dive fall.although the skipper was aware of the demands of his working environment, there was no evidence of a formal assessment of the risks to a fully-dressed diver moving from his seated preparation area, to the point of entry into the water"
352,"on november 14, 2020, about 0435 local time, the towing vessel island lookout was transiting eastbound with a crew of four on the albemarle and chesapeake canal near chesapeake, virginia, pushing ahead barge bh 2903, which was loaded with scrap steel. as the tow was attempting to pass through the centerville turnpike bridge, the barge struck the swing span of the bridge while it was opening. no pollution or injuries were reported. estimated damages amounted to $2.86 million for the bridge and $34,000 for the barge.","the probable cause of the contact of the island lookout tow with the centerville turnpike bridge was the mate’s misjudgment of the tow’s speed of approach relative to the status of the swing bridge opening, which resulted in insufficient time to slow the tow and avoid striking the bridge before it was fully open and safe to navigate.​","Chesapeake, VA",Contact of Island Lookout Tow with Centerville Turnpike Bridge,10/17/2020,0,1,0,0,0,0,0,0,0,0,0,"Summary: on november 14, 2020, about 0435 local time, the towing vessel island lookout was transiting eastbound with a crew of four on the albemarle and chesapeake canal near chesapeake, virginia, pushing ahead barge bh 2903, which was loaded with scrap steel. as the tow was attempting to pass through the centerville turnpike bridge, the barge struck the swing span of the bridge while it was opening. no pollution or injuries were reported. estimated damages amounted to $2.86 million for the bridge and $34,000 for the barge. Safety Issues: the probable cause of the contact of the island lookout tow with the centerville turnpike bridge was the mate’s misjudgment of the tow’s speed of approach relative to the status of the swing bridge opening, which resulted in insufficient time to slow the tow and avoid striking the bridge before it was fully open and safe to navigate.​"
353,"on 5 september 1991 fishing vessel margaret and william ii with five men on board was expected to berth at newlyn early in the morning, but did not do so and was reported overdue. hm coastguard initiated a search, and at 1343 hrs gmt a liferaft was found, with three survivors. the two remaining members of the crew were missing. the survivors reported that margaret and william ii had been in collision with an unidentified vessel the previous afternoon and, in consequence, had sunk very quickly. the dutch chemical tanker jacobus broere reported that she had been in the area of the accident and although her watchkeeper had seen nothing, paint scrapings of unknown origin had been found on her bow. subsequent investigation makes it almost certain that jacobus broere and margaret and william ii had been in collision.",neither vessel kept such a lookoutit is reasonable to assume that if either vessel had detected the other in sufficient time action to avoid collision would have been taken,In the Western Approaches,Collision between gill netter Margaret And William II and chemical tanker Jacobus Broere resulting in netter sinking with loss of 2 lives,4 September 1991,0,1,0,0,0,1,1,0,0,0,0,"Summary: on 5 september 1991 fishing vessel margaret and william ii with five men on board was expected to berth at newlyn early in the morning, but did not do so and was reported overdue. hm coastguard initiated a search, and at 1343 hrs gmt a liferaft was found, with three survivors. the two remaining members of the crew were missing. the survivors reported that margaret and william ii had been in collision with an unidentified vessel the previous afternoon and, in consequence, had sunk very quickly. the dutch chemical tanker jacobus broere reported that she had been in the area of the accident and although her watchkeeper had seen nothing, paint scrapings of unknown origin had been found on her bow. subsequent investigation makes it almost certain that jacobus broere and margaret and william ii had been in collision. Safety Issues: neither vessel kept such a lookoutit is reasonable to assume that if either vessel had detected the other in sufficient time action to avoid collision would have been taken"
354,"while the 40m banff-registered, twin rig trawler solstice ii was fishing the grounds off rockall, a member of the crew was fatally injured.",there were a lack of safety guards fitted to the winchesthe casualty placing himself in dangerinability of the skipper to operate both winches and effectively monitor the actions of the crewman on deckthe risk assessment was ineffective in that it did not reflect safe standard operating procedures specific to solstice ii,25 miles south-west of Rockall in North Atlantic Ocean,Entanglement while shooting fishing gear from twin rig stern trawler Solstice II with loss of 1 life,23 January 2015,1,0,0,0,0,0,0,0,0,1,0,"Summary: while the 40m banff-registered, twin rig trawler solstice ii was fishing the grounds off rockall, a member of the crew was fatally injured. Safety Issues: there were a lack of safety guards fitted to the winchesthe casualty placing himself in dangerinability of the skipper to operate both winches and effectively monitor the actions of the crewman on deckthe risk assessment was ineffective in that it did not reflect safe standard operating procedures specific to solstice ii"
355,"on 3 april 2012 the cargo ship carrier grounded at raynes jetty in llanddulas, north wales. carrier suffered substantial damage and was declared a ‘total constructive loss’. approximately 33000 litres of gas oil was spilled into the sea. some delays were caused to the shore-based rescue operation due to a lack of serviceable search and rescue helicopters, but ultimately the crew were rescued from the stricken vessel without injury.","marine operations at raynes jetty had not been adequately planned or controlled, there was no safety management system of the type recommended in the port marine safety codeterminology used in uk maritime weather forecasts was confusing to non-native mariners and shore-based staff who had not undergone marine training","Raynes Jetty, Llanddulas, Wales",Grounding of general cargo vessel Carrier,3 April 2012,1,0,0,0,0,0,1,1,0,0,0,"Summary: on 3 april 2012 the cargo ship carrier grounded at raynes jetty in llanddulas, north wales. carrier suffered substantial damage and was declared a ‘total constructive loss’. approximately 33000 litres of gas oil was spilled into the sea. some delays were caused to the shore-based rescue operation due to a lack of serviceable search and rescue helicopters, but ultimately the crew were rescued from the stricken vessel without injury. Safety Issues: marine operations at raynes jetty had not been adequately planned or controlled, there was no safety management system of the type recommended in the port marine safety codeterminology used in uk maritime weather forecasts was confusing to non-native mariners and shore-based staff who had not undergone marine training"
356,"at 1749 on 27 january 2019, the chief engineer on board the tug millgarth, fell into the river mersey from the north oil stage at the tranmere oil terminal at birkenhead, england. he had released millgarth’s mooring lines and was attempting to re-board the tug. his lifejacket inflated automatically on entering the water and his crewmates were able to recover him alongside the tug within 5 minutes. the crew were unable to lift the chief engineer out of the water because he had quickly become incapacitated in the cold water and lost consciousness. he was recovered at 1811 by the crew of rescue boat marine fire rescue 1; he had suffered cardiac arrest and could not be revived.","accessing the tugs via the oil stage fenders at the tranmere oil terminal was a common practice and was extremely dangerous, particularly in poor weather conditionsthe lack of safe access to and from svitzer tugs at tranmere oil terminal had been recognised for at least 14 years prior to this accident and had been raised at safety committee meetings and during company inspections many times prior to this accidentsvitzer uk and essar did not formally identify and evaluate the shared risks associated with access to and from an unmoored tug or discuss how these could be mitigatedthe crew had not been fully prepared to deal with the emergency situation, and were unfamiliar with the use of the tug’s mob rescue-sling","North oil stage at Tranmere Oil Terminal, Birkenhead, England","Fall while boarding tug Millgarth with loss of 1 life
",27 January 2019,0,0,1,1,0,0,0,1,0,1,0,"Summary: at 1749 on 27 january 2019, the chief engineer on board the tug millgarth, fell into the river mersey from the north oil stage at the tranmere oil terminal at birkenhead, england. he had released millgarth’s mooring lines and was attempting to re-board the tug. his lifejacket inflated automatically on entering the water and his crewmates were able to recover him alongside the tug within 5 minutes. the crew were unable to lift the chief engineer out of the water because he had quickly become incapacitated in the cold water and lost consciousness. he was recovered at 1811 by the crew of rescue boat marine fire rescue 1; he had suffered cardiac arrest and could not be revived. Safety Issues: accessing the tugs via the oil stage fenders at the tranmere oil terminal was a common practice and was extremely dangerous, particularly in poor weather conditionsthe lack of safe access to and from svitzer tugs at tranmere oil terminal had been recognised for at least 14 years prior to this accident and had been raised at safety committee meetings and during company inspections many times prior to this accidentsvitzer uk and essar did not formally identify and evaluate the shared risks associated with access to and from an unmoored tug or discuss how these could be mitigatedthe crew had not been fully prepared to deal with the emergency situation, and were unfamiliar with the use of the tug’s mob rescue-sling"
357,"at approximately 1913 on 2 february 2010, a fire broke out in the auxiliary engine room on board the bahamas registered roll-on roll-off passenger ferry oscar wilde. the ferry had just sailed from falmouth, uk, after completing her annual docking. the seat of the fire was in way of the auxiliary engines’ fuel supply module and quickly spread across the compartment. the fire was eventually extinguished by the ship’s crew at 2100. there were no passengers on board and none of the ship’s crew were injured. however, the fire caused the vessel to lose electrical power, which ultimately required her to be towed back into falmouth for repairs.",the regulating valve’s actuator diaphragm failed because it had been manufactured from rubber that was not resistant to oilthe fire was not extinguished by the high expansion foam total flooding system because rust and scale within the dry pipe network had clogged the foam distribution nozzles and prevented the production of foamthe performance of the local application water-mist and bilge foam systems was adversely affected by inadequate maintenancethe fire spread to an adjacent compartment due to the absence of thermal insulation,"Falmouth Bay, England",Fire in machinery space on ro-ro passenger ferry Oscar Wilde,2 February 2010,0,0,0,0,1,0,0,1,0,0,1,"Summary: at approximately 1913 on 2 february 2010, a fire broke out in the auxiliary engine room on board the bahamas registered roll-on roll-off passenger ferry oscar wilde. the ferry had just sailed from falmouth, uk, after completing her annual docking. the seat of the fire was in way of the auxiliary engines’ fuel supply module and quickly spread across the compartment. the fire was eventually extinguished by the ship’s crew at 2100. there were no passengers on board and none of the ship’s crew were injured. however, the fire caused the vessel to lose electrical power, which ultimately required her to be towed back into falmouth for repairs. Safety Issues: the regulating valve’s actuator diaphragm failed because it had been manufactured from rubber that was not resistant to oilthe fire was not extinguished by the high expansion foam total flooding system because rust and scale within the dry pipe network had clogged the foam distribution nozzles and prevented the production of foamthe performance of the local application water-mist and bilge foam systems was adversely affected by inadequate maintenancethe fire spread to an adjacent compartment due to the absence of thermal insulation"
358,"the uk registered charter yacht, tyger of london, was sailing from la gomera to tenerife on the afternoon of 7 december 2017 when its keel failed suddenly and the yacht capsized. the crew, all wearing lifejackets, were thrown into the water and rescued by the british army yacht, st barbara v.","yacht’s keel failed because it had not been manufactured in accordance with the designcondition of the keel could not be monitored due to its unusual designthe swift action of the nearby yacht and the crew’s decision to wear life jackets ensured they survivedliferaft and emergency equipment on board the yacht could not be accessed, once the yacht had capsized","1 nautical mile south of Punta Rasca, Tenerife",Keel failure and capsize of charter yacht Tyger of London,7 December 2017,0,0,0,0,1,0,0,0,0,0,1,"Summary: the uk registered charter yacht, tyger of london, was sailing from la gomera to tenerife on the afternoon of 7 december 2017 when its keel failed suddenly and the yacht capsized. the crew, all wearing lifejackets, were thrown into the water and rescued by the british army yacht, st barbara v. Safety Issues: yacht’s keel failed because it had not been manufactured in accordance with the designcondition of the keel could not be monitored due to its unusual designthe swift action of the nearby yacht and the crew’s decision to wear life jackets ensured they survivedliferaft and emergency equipment on board the yacht could not be accessed, once the yacht had capsized"
359,"on 4 october 2015, at approximately 1320, a crewman from the 9.15m creel fishing vessel annie t (cy 1) was carried overboard by the fishing gear when his foot became caught in a bight of rope while he was moving an end weight on the working deck. the skipper recovered the crewman back on board about 10 minutes later but was unable to resuscitate him.","not separating the crew from the gear while shootingnot wearing personal floatation devices (pfds) on the working deck despite free/subsidised constant wear lifejackets being providednot appreciating the effects of cold water shockno mandatory requirement in the uk for commercial fishermen to wear lifejacketsno manoverboard recovery strategy, guidance or requirement for fishing vessels less than 15m overall length","Sound of Mingulay, Scotland",Man overboard from creel fishing vessel Annie T with loss of 1 life,4 October 2015,0,0,1,1,0,0,0,0,0,1,0,"Summary: on 4 october 2015, at approximately 1320, a crewman from the 9.15m creel fishing vessel annie t (cy 1) was carried overboard by the fishing gear when his foot became caught in a bight of rope while he was moving an end weight on the working deck. the skipper recovered the crewman back on board about 10 minutes later but was unable to resuscitate him. Safety Issues: not separating the crew from the gear while shootingnot wearing personal floatation devices (pfds) on the working deck despite free/subsidised constant wear lifejackets being providednot appreciating the effects of cold water shockno mandatory requirement in the uk for commercial fishermen to wear lifejacketsno manoverboard recovery strategy, guidance or requirement for fishing vessels less than 15m overall length"
360,"on 11 may 2016, the chief officer on board the uk registered general cargo ship johanna c fell from a large steel cargo unit that was being repositioned in the vessel’s forward hold. the chief officer was moved ashore and taken to a local hospital by ambulance, but he died shortly after arrival.",it was inherently unsafe and unnecessary for the chief officer to stand on top of the cargo while it was being lifted; the risks of standing on a load under tension were not recognisedthe chief officer lost his balance and fell onto the deck following the sudden and unexpected movement of the cargo and/or its lifting slings as the cargo was liftedthe sudden and unexpected movement of the cargo and /or its slings was possibly due to the slings slipping from their intended positionsthe crew’s response following the chief officer’s fall was immediate and positive,"Songkhla, Thailand",Accident during cargo operations on general cargo vessel Johanna C with loss of 1 life,12 January 2017,1,0,0,0,1,0,0,0,0,0,0,"Summary: on 11 may 2016, the chief officer on board the uk registered general cargo ship johanna c fell from a large steel cargo unit that was being repositioned in the vessel’s forward hold. the chief officer was moved ashore and taken to a local hospital by ambulance, but he died shortly after arrival. Safety Issues: it was inherently unsafe and unnecessary for the chief officer to stand on top of the cargo while it was being lifted; the risks of standing on a load under tension were not recognisedthe chief officer lost his balance and fell onto the deck following the sudden and unexpected movement of the cargo and/or its lifting slings as the cargo was liftedthe sudden and unexpected movement of the cargo and /or its slings was possibly due to the slings slipping from their intended positionsthe crew’s response following the chief officer’s fall was immediate and positive"
361,"a crew member fell and was fatally crushed as the tug svitzer moira was being manoeuvred alongside an unmanned tug at royal portbury dock, bristol on 29 december 2015.","no tool-box talk took place, the job was deemed as routine by the crew and assumptions were made. a tool-box talk, prior to any hazardous task, is a good opportunity for all crew to have an input, and to ensure all share the same common goalthe engineer was not wearing the appropriate personal protective equipment (ppe) at the time of this tragic accident, though it is unlikely that its use would have changed the outcomethe investigation found shortcomings in the oversight and control of deck operations and lapses in the use of ppe indicative of a significant divergence between company instructions and working practices on board that had not been corrected by shore management","Royal Portbury Dock, Bristol",Fall from tug Svitzer Moira with loss of 1 life,29 December 2015,0,0,1,0,0,1,0,1,0,0,0,"Summary: a crew member fell and was fatally crushed as the tug svitzer moira was being manoeuvred alongside an unmanned tug at royal portbury dock, bristol on 29 december 2015. Safety Issues: no tool-box talk took place, the job was deemed as routine by the crew and assumptions were made. a tool-box talk, prior to any hazardous task, is a good opportunity for all crew to have an input, and to ensure all share the same common goalthe engineer was not wearing the appropriate personal protective equipment (ppe) at the time of this tragic accident, though it is unlikely that its use would have changed the outcomethe investigation found shortcomings in the oversight and control of deck operations and lapses in the use of ppe indicative of a significant divergence between company instructions and working practices on board that had not been corrected by shore management"
362,"at 1840 on 12 january 2011, the 16.84m prawn trawler silver chord collided with the 14.99m prawn trawler sapphire ii. at the time of the collision, sapphire ii was stopped in the water while her skipper, who was operating single-handed, recovered the vessel’s fishing gear. silver chord was making 5.5 knots (kts) as she proceeded towards stornoway after a day’s fishing. sapphire ii’s hull was penetrated, and the fish hold quickly started to flood. her skipper reported the accident to the coastguard and transferred to silver chord before sapphire ii sank at about 1850. silver chord was also damaged but was able to return to stornoway under her own power. there were no injuries.","neither skipper was aware of the proximity of the other vessel despite both vessels displaying navigation lights and deck floodlights, and both vessels being equipped with working radar displayssilver chord’s wheelhouse was left unattended for substantial periods of time before the accident while her skipper and crew worked in a fully enclosed shelterthe visibility ahead from silver chord’s wheelhouse was impaired by the vessel’s shelter and deck fittingssapphire ii’s skipper had been focused on recovering the fishing gear. his view from the aft working deck was obstructed by the vessel’s accommodation and wheelhouse, which prevented him from maintaining a proper and effective lookout. the single-handed operation of sapphire ii was therefore inherently unsafe","Off Stornoway, Scotland","Collision between prawn trawlers Sapphire II and Silver Chord, resulting in Sapphire II sinking",12 January 2011,0,0,0,1,0,1,1,0,0,1,0,"Summary: at 1840 on 12 january 2011, the 16.84m prawn trawler silver chord collided with the 14.99m prawn trawler sapphire ii. at the time of the collision, sapphire ii was stopped in the water while her skipper, who was operating single-handed, recovered the vessel’s fishing gear. silver chord was making 5.5 knots (kts) as she proceeded towards stornoway after a day’s fishing. sapphire ii’s hull was penetrated, and the fish hold quickly started to flood. her skipper reported the accident to the coastguard and transferred to silver chord before sapphire ii sank at about 1850. silver chord was also damaged but was able to return to stornoway under her own power. there were no injuries. Safety Issues: neither skipper was aware of the proximity of the other vessel despite both vessels displaying navigation lights and deck floodlights, and both vessels being equipped with working radar displayssilver chord’s wheelhouse was left unattended for substantial periods of time before the accident while her skipper and crew worked in a fully enclosed shelterthe visibility ahead from silver chord’s wheelhouse was impaired by the vessel’s shelter and deck fittingssapphire ii’s skipper had been focused on recovering the fishing gear. his view from the aft working deck was obstructed by the vessel’s accommodation and wheelhouse, which prevented him from maintaining a proper and effective lookout. the single-handed operation of sapphire ii was therefore inherently unsafe"
