Summary,Safety Issues,Location,Title,Date Occurred,Decision Events,Skill Based Events,Perception Events,Routine Violation,Physical Environment,Technical Environment,Space Environment,Communications,Self Imposed Stress,Awareness Cognitive Factors,Adverse Psychological,Adverse Physiological,Medical / Mental,Individual Perception,Inadequate Supervision,Failure to Correct a Known Problem,Planned Inappropriate Operations,Supervisory Violations,Organizational Culture / Climate,Organizational Processes,Resource Management
"At 0408 local time on March 15, 2019, the towing vessel Dixie Vandal, pushing a partially loaded fuel barge upbound through the Houston Ship Channel, struck the towing vessel Trinity and one of its barges, which were moored and preparing to discharge cargo at the Kinder Morgan Pasadena Liquids Terminal in Pasadena, Texas. The contact caused the Trinity and its tow to shift about 100 feet upriver, breaking the cargo hoses and mooring lines and damaging the facility. About a half-gallon of jet fuel discharged into the channel. No injuries were reported by the crew of five aboard the Dixie Vandal nor by the Trinity​'s crew of four. Damage to the facility and barges amounted to $630,230.","​​The probable cause of the collision of the Dixie Vandal’s tow with the moored Trinity and tow was the fatigued pilot falling asleep near the end of his 12-hour watch while maneuvering in the Houston Ship Channel, resulting in the loss of control of the vessel. Contributing to the pilot’s fatigue was the extended length of duty through the night and early morning hours and his use of an over-the-counter antihistamine.","Pasadena, TX",Collision of Dixie Vandal Tow with Moored Trinity and Tow,3/15/2019,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
"On the evening of April 17, 2018, the cutter suction dredge Jonathon King Boyd punctured a submarine natural gas pipeline with a spud during dredging operations in Matagorda Bay, Texas. A gas plume ignited and engulfed the dredge and its accompanying towboat, the Bayou Chevron. All 10 crewmembers abandoned the vessels uninjured. Damage to the pipeline was estimated at $1.7 million. The Jonathon King Boyd and the Bayou Chevron were constructive total losses, valued at $5.5 million and $125,000 respectively.","​​The probable cause of the fire aboard the cutter suction dredge Jonathon King Boyd was RLB Contracting’s failure to inform the crew about utilities in the area due to ineffective oversight, which led to dropping a spud onto a ​buried submarine pipeline, causing natural gas to release and ignite.",TX,Pipeline Breach and Subsequent Fire aboard Cutter Suction Dredge Jonathon King Boyd and Towboat Bayou Chevron,4/17/2018,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"At 1438 on 27 March 2018, the Bahamas registered general cargo vessel Celtica Hav grounded on a stone training wall in the approach channel to the River Neath, Wales. The vessel had a harbour pilot on board at the time who had control of the steering and speed. Celtica Hav was quickly re-floated and manoeuvred clear of the training wall. It suffered extensive shell plate damage to the bottom of its hull, which resulted in water ingress to several ballast tanks and flooding in the engine room. The flooding was contained using the vessel’s bilge and ballast pumps, and submersible salvage pumps provided by the harbour authority. There were no injuries to personnel and no damage to the environment.","a detailed pilotage plan had not been made by either the ship or the pilot, and the master/pilot exchange did not cover all hazards, including that posed by the training walls

the pilot did not have full positional awareness when Celtica Hav left the dredged channel and did not fully appreciate the risk of grounding on the training wall

the vessel’s electronic navigation equipment was not adequately utilised to monitor the vessel’s position and assess its progress","Approaches to the River Neath, Wales",Grounding of general cargo vessel Celtica Hav,27 March 2018,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"At 0720 on April 26, 2015, the barge Gayle Force struck the unmanned Norfolk Southern Railway Bridge #7 on the Southern Branch of the Elizabeth River in Chesapeake, Virginia, while being towed by the tugboat Simone. The allision caused $1.8 million in damage to the bridge and stopped rail traffic for nearly 36 hours. Damage to the barge was negligible. No one was injured, and there was no pollution associated with the accident.",​​The probable cause of the allision of the barge Gayle Force with the Norfolk Southern Bridge #7 was the Simone​ captain’s failure to plan for the bridge transit and effectively use the assist tugboat.,"Chesapeake, VA","Allision of Barge Gayle Force, Under Tow by Tugboat Simone, with Norfolk Southern Bridge #7",4/26/2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"At 1938 on 26 September 2017, the 9.9m fishing vessel Solstice capsized in calm weather conditions about 7 miles south of Plymouth. The skipper and crewman were rescued from the vessel’s upturned hull about 5½ hours later, but the vessel’s owner was trapped and drowned in the wheelhouse. Solstice later sank. The scallop dredger had recently been modified to operate as a stern trawler and its owner, skipper and crewman were in the process of hauling a heavy catch on board when the capsize occurred. The net’s cod-end was full of fish, moss and sand, and started to roll uncontrollably along the transom as the vessel heeled in the light swell. The crew did not have time to raise the alarm before they entered the water. As the vessel was not equipped with an Emergency Position Indicating Radio Beacon (EPIRB) and the crew did not carry Personal Locator Beacons (PLBs), they were wholly reliant on family and friends realising they were overdue and alerting the coastguard.","the crew had no stability information for Solstice and did not fully appreciate the risk of capsize. Vessel owners should always ensure that stability assessments are carried out before and after any modifications are undertaken

the weight in Solstice’s net was clearly excessive. In such circumstances, action should be taken to reduce the loads being lifted on board

take the search out of search and rescue; fit an Automatic Identification System (AIS) and carry an EPIRB and/or PLBs. They can be life savers

personal flotation devices should always be worn when working on deck and emergency use lifejackets should be readily available","Approximately 7 miles south of Plymouth, England",Capsize and sinking of fishing vessel Solstice with loss of 1 life,26 September 2017,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"On 11 February 2015 the UK registered container ship Ever Smart collided with the Marshall Islands registered tanker Alexandra 1 in Jebel Ali, UAE. A harbour pilot was transferring from the outbound container ship to the inbound tanker by launch when the vessels collided at the entrance to the port’s approach channel. Both vessels were damaged. Evergreen Marine (UK) Limited, the managers of Ever Smart and Iships Management Private Limited, the managers of Alexandra 1 have taken action to improve the standard of bridge watchkeeping on board their vessels.","Ever Smart did not monitor Alexandra 1’s movements; the proximity of the tanker was recognised only seconds before the collision
Alexandra 1 was unnecessarily close to the entrance to the port’s approach channel but its movement was not challenged by the port’s vessel traffic service
Alexandra 1 was manoeuvred on the basis of scanty VHF radio information
a passing agreement was not agreed and promulgated to all parties and the pilot’s departure from Ever Smart was premature
Alexandra 1’s AIS was not operating so information such as vessel names was not readily available on board the tanker, the container ship or to the vessel traffic services","Port of Jebel Ali, United Arab Emirates",Collision between container vessel Ever Smart and oil tanker Alexandra 1,11 February 2015,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"On the night of October 29, 2015, at 2226 local time, the US-flagged cargo vessel Ocean Freedom collided with a tier of moored empty tank barges while entering the Port of Corpus Christi, Texas. One crewmember, who was working on one of the barges, received non-life threatening injuries. Although no environmental damage was reported, the Ocean Freedom and the three tank barges sustained structural damage estimated at $750,000.",​​The probable cause of the collision of the Ocean Freedom with the moored tank barges was the pilot's rudder order in a direction opposite of which he intended. Contributing to the accident was the failure of the bridge team to identify the risk of collision and take appropriate action.,"Corpus Christi, TX",Collision of Cargo Vessel Ocean Freedom with Tank Barges,10/29/2015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"At approximately 1000 on 3 August 2007, three Army Cadet Force rigid raiding craft set off from Loch Carnan jetty, South Uist to transport a group of cadets and their adult instructors to an exercise area in Loch Skipport. Shortly after setting off, the sea conditions worsened and the officer in charge of the activity decided that the boats should turn back. At about 1005 one of the boats, which had accumulated a large amount of water on its deck, capsized. Four of the twelve persons on board initially surfaced under the upturned hull, but only three managed to swim clear. The fourth, a 14 year old female cadet remained under the hull. Although a headcount was conducted, it failed to identify that the girl was missing. The survivors were returned to the jetty and onto their base camp in two groups. The trapped cadet was identified as missing at 1130 and was found under the boat on the rocky shores of Steisay Island at 1305. She was taken to the Western Isles hospital by coastguard helicopter but was pronounced dead on arrival.","the weight distribution within the boat reduced the freeboard forward and increased the likelihood of water being shipped

water accumulated on the deck because the boat’s self-bailers had not been lowered

the actions taken by the boat’s coxswain did not take account of the free surface effect of the accumulated water

the lifejacket worn by the female cadet was not suitable for use by children and would have prevented her escape from the upturned hull once inflated

the delay in identifying that she was missing undoubtedly reduced her chances of survival.","Loch Carnan on South Uist, Western Isles of Scotland",Capsize of army cadet force rigid raiding craft with loss of 1 life,3 August 2007,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"On November 4, 2019, an explosion occurred aboard the moored tank barge IB1940 at the Illinois Marine Towing Heritage Slip on the Chicago Sanitary and Ship Canal in Lemont, Illinois, about 25 miles from Chicago. The IB1940's cargo of acetone had been unloaded, and the barge was being prepared for cleaning at the time of the explosion. No injuries or pollution were reported. The barge was declared a total constructive loss, valued at $1,750,000.","​​The probable cause of the explosion aboard the barge IB1940 was the company’s incomplete procedures that did not incorporate the safety instructions included in the Facility Operations Manual regardin​g the electrical bonding of air movers to barges, resulting in an unbonded air mover being operated in a cargo tank with residual acetone, thereby causing a static electrical discharge, which ignited flammable vapors in the tank.","Lemont, IL",Explosion aboard Barge IB1940,12/4/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"On the afternoon of April 21, 2015, a fire broke out in the forepeak machinery space on the uninspected fishing vessel Northern Pride while under way in the vicinity of Portlock Bank, Alaska. Smoke and fire spread quickly to the main cabin and wheelhouse, prompting the captain to broadcast a Mayday alert. The captain then ordered his crew to don their immersion suits and abandon ship into the vessel's inflatable liferaft. A US Coast Guard helicopter responding to the emergency hoisted the crew aboard and transported them to Kodiak, Alaska. Shortly after the rescue, the Northern Pride capsized. The overturned vessel drifted northwest towards the Shakun Islets, and on May 7 its splintered hull washed ashore at Cape Chiniak within Katmai National Park. About 5,440 gallons of fuel, hydraulic, and lubricating oil were released to the sea. No injuries were reported. The vessel was declared a total loss valued at an estimated $425,000.","​​The probable cause of the loss of the commercial fishing vessel Northern Pride was a fire in the forepeak machinery space and flooding through the hull planking, which led to its capsizing. Contributing to the accident were the overall poor condition and maintenance of the vessel and the captain’s decision to get under way in a vessel with known deficiencies. Also contributing to the accident was the rapid spread of the fire in the wooden vessel due to the absence of machinery space fire-suppression systems and fire-protected subdivision bulkheads, neither of which were required for uninspected fishing vessels.",AK,"Fire on board Fishing Vessel Northern Pride, with Subsequent Capsizing",4/21/2015,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"At 1521 (UTC +1) on 3 January 2014 the Liberia registered liquefied gas carrier, Navigator Scorpio, ran aground on Haisborough Sand in the North Sea, England. The vessel was undamaged by the grounding; 2.5 hours later, it refloated on the rising tide.","the vessel ran aground in restricted waters after the officer of the watch had become distracted and lost positional awareness
he passage plan was incomplete and the significant effects of wind and strong tidal streams had not been properly taken into account
given the proximity to danger, appropriate navigational techniques were not applied and the bridge manning was insufficient
weaknesses in the crew’s navigation capability had been identified during an audit of the vessel, however, follow up actions were not sufficient to prevent the grounding","Haisborough Sand off Norfolk, England",Grounding of liquefied gas carrier Navigator Scorpio,3 January 2014,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"On 30 March 2015 the mooring launch Asterix girted and capsized while assisting manoeuvring of the small chemical tanker Donizetti at Fawley oil refinery, Southampton UK. The two crew from the launch were rescued the coxswain having been trapped in the upturned wheelhouse for more than an hour. The launch later sank however there was no pollution and although later recovered, the launch was declared a constructive total loss.","the coxswain’s training did not equip him for the task, and specifically did not equip him to use the gog rope/bridal effectively

the launch was not being monitored effectively, and there were weaknesses in the communications between Donizetti and Asterix

launch crews were not sufficiently experienced in the use of the emergency release mechanism and could not activate it effectively","Fawley Marine Terminal, Southampton, UK",Girting and capsize of mooring launch Asterix,30 March 2015,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
"On August 18, 2017, about 1920 local time, the Antigua and Barbuda-flagged bulk carrier Mia S was traveling downbound on the Mississippi River near New Orleans, Louisiana, experiencing intermittent engine slowdowns. As the fully loaded vessel began to enter a bend of the river at Six-Mile Point near mile 101, its propulsion engine program restricted the engine to dead slow ahead. Within minutes, the vessel allided with the Nashville Avenue Wharf, damaging its bow above the waterline and the wharf. No pollution or injuries among the 19 crewmembers were reported. Damage to the Mia S and the Nashville Avenue Wharf each amounted to an estimated $1 million.","The probable cause of the allision of the bulk carrier Mia S with the Nashville Avenue Wharf was the chief engineer’s poor communication to the master regarding the potential for additional protective engine slowdowns at orders above dead slow ahead, and the master and pilot’s decision to proceed at full ahead, ​which resulted in a reduction in engine speed and subsequent loss of maneuverability while navigating through a sharp river bend.","New Orleans, LA",Allision of Bulk Carrier Mia S with Nashville Avenue Wharf,8/18/2017,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"At 1126 on 3 November 2008, an engine room fitter was found trapped in a hydraulically operated steel watertight door in a machinery space on board the ro-ro passenger ferry Eurovoyager. The fitter was released from the door by the duty motorman and was airlifted to hospital at 1315 after the ferry arrived in Ramsgate. He was treated for crush injuries and was not expected to be able to return to work for at least 6 months.","the door’s rate of closure was almost three times faster than allowed on board newer vessels
the fitter could not have followed the recommended transit procedure when passing through the watertight door
contrary to SOLAS requirements, the watertight door was in ‘remote’ and closed automatically as soon as its operating handle was released
there was no indication at the door to show that remote operation was selected
on board procedures for the operation of watertight doors were poorly promulgated and were not monitored or enforced","Approaching Ramsgate, England",Crush incident involving hydraulically operated watertight door on ro-ro passenger vessel Eurovoyager,3 November 2008,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"At 0332 on 25 July 2021, the cargo vessel BBC Marmara ran aground on the island of Eilean Trodday while transiting the Little Minch, off the west coast of Scotland. The vessel was on passage from Foynes, Republic of Ireland to Scrabster, Scotland. It was refloated successfully and then proceeded to the port of Stornoway, where a dive inspection confirmed significant damage to the forward part of the vessel’s hull that included penetration of the bow thruster space and forepeak tanks. A port state inspection granted permission for BBC Marmara to sail to Scrabster to offload cargo before proceeding to a dry dock in Poland for repairs.","removal of safeguards such as lookout, Bridge Navigational Watch Alarm System (BNWAS) and coastguard interventions meant that, after the vessel diverged from the planned track when the watchkeeper fell asleep, the grounding could not be prevented

the watchkeeper had been drinking before, and on taking, the watch; abuse of alcohol was tolerated by senior officers and events leading up to the grounding were indicative of a lack of responsibility at every level of management on board

the vessel traffic management operator had become distracted by another task because they had neither received training nor had sufficient processes to manage the hazard of distraction interfering with the role","Eilean Trodday in the Little Minch, Scotland",Grounding of general cargo vessel BBC Marmara,25 July 2021,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0
"The UK-registered, twin-rig stern trawler Aurelia, sank 78 miles west of St Kilda, at approximately 0015 on 13 August 2001.","the bilge alarm did not operate when the engine room flooded. Thus, the sea water ingress into the engine room went unnoticed until it was at a dangerously high level
control of the sea water ingress into the engine room was lost, because the main sea water suction valve was rendered inaccessible, because it was submerged, so could not be closed","78 miles west of St Kilda, Scotland",Flooding and sinking of twin-rig stern trawler Aurelia,13 August 2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"On March 17, 2021, about 0045 local time, the towing vessel Miss Dorothy was pushing 14 barges upbound on the Lower Mississippi River, about 20 miles north of Baton Rouge, Louisiana, near mile 249, when a fire broke out in the engine room.​ The eight crewmembers aboard briefly attempted to fight the fire but were unsuccessful and evacuated to the barges. They were rescued by a Good Samaritan vessel, which then secured the tow against the bank. The fire was extinguished several hours later by first responders and the crew aboard the Good Samaritan vessel. No pollution or injuries were reported. Damage to the vessel was estimated at $2.4 million.​",The National Transportation Safety Board determines that the probable cause of the engine room fire aboard the towing vessel Miss Dorothy was the ignition of spraying diesel fuel from a main engine’s fuel system onto an uninsulated section of the engine’s exhaust system. Contributing to the severity of the fire and damage to the vessel was the inability to effectively secure ventilation to the space and fuel to the affected engine.​,"Baton Rouge, LA",Engine Room Fire aboard Towing Vessel Miss Dorothy,3/17/2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"On April 30, 2021, about 1810 local time, a fire erupted aboard the fishing vessel Nobska while the five member crew was ground fishing in Georges Bank, about 80 miles east of Cape Cod, Massachusetts. The fire started in the engine room and quickly engulfed the vessel. When attempts to extinguish the fire proved unsuccessful, the crew prepared to abandon ship and activated the vessel’s emergency position indicating radio beacon (EPIRB). A US Coast Guard helicopter rescued the crew from the stern of the fishing vessel. Neither injury nor pollution was reported. The Nobska, valued at an estimated $2.4 million, was declared a total constructive loss.","​We determined that the probable cause of the fire aboard the fishing vessel Nobska was a failure of a hydraulic hose within the engine room that allowed hydraulic fluid to spray onto a hot surface, likely the exposed main engine exhaust pipe. Contributing to the failure of the hydraulic hose was possible heat damage from a fire that occurred earlier in the day.​", ,Engine Room Fire aboard Fishing Vessel Nobska,4/30/2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"On 20 May 2014 the small fishing vessel Water-rail disappeared. It set out from Gourdon Harbour, Aberdeenshire early that morning; however, soon after departure, the skipper was completely lost in fog. When the boat did not return as expected, the alarm was raised and an extensive search commenced, but after 2 days nothing had been found and the men’s family was informed that the boat and crew had probably been lost at sea. However, on the morning of 22 May 2014, Water-rail was found and the crew rescued by the deep-sea trawler, Sylvia Bowers. Our investigation found that the skipper of Water-rail did not have the equipment or competence necessary to navigate his vessel safely in the prevailing conditions and was also unable to broadcast a distress message as there was no electronic means of communication on board.","the importance of preparing for every voyage, particularly understanding the limitations of the vessel and crew as well as taking marine weather forecasts into account

ensuring carriage of appropriate safety equipment, in particular, the ability to broadcast distress","Found approximately 44nm offshore in the North Sea off Aberdeenshire, Scotland",Disappearance and rescue of small fishing vessel Water-rail,20 May 2014,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Primrose landed her catch in Mallaig, on the evening of 14 June, then sailed in the early hours of the next day to return to the fishing grounds. At 0320, she ran aground. The person on watch had fallen asleep and had failed to alter course sufficiently to take the vessel between the isles of Rhum and Eigg. The watch alarm was not working and had been landed ashore for repairs, and the vessel had sailed one man short of her normal complement. The vessel was refloated at high water later that day, with the assistance of Mallaig lifeboat. There was superficial hull damage, and water damage to the accommodation and engine room. No injuries or pollution were sustained as a result of the grounding. Primrose was later repaired and re-entered service.",the cause of the grounding was the person on watch in the wheelhouse falling asleep and failing to make the required alteration of course,"Island of Rum, Scotland",Grounding of stern trawler Primrose,15 June 2001,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"On 28 January 2013 single handed fishing vessel JCK was heavily laden following a successful day’s fishing in Babbacombe Bay, Devon, England. Despite forecasts of strong winds and seas the skipper decided to leave the shelter of the bay to return to port at Torquay. When the vessel failed to return a major search was mounted and the skipper’s body was recovered several hours later. Flotsam from JCK was found but the boat was not located and is believed to have foundered in rough seas and winds gusting in excess of 50 knots.",the skipper’s decision to leave the shelter of that bay and return to port through forecast strong winds and seas was an error of judgment,"Tor Bay, England",Sinking in heavy weather of under 12m netter JCK with loss of 1 life,28 January 2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"At 2311 on 10 October 2017, The Netherlands registered general cargo vessel Ruyter ran aground on the north shore of Rathlin Island when the master, who was the watchkeeper left the bridge unattended. The bridge navigational watch alarm system, which could have alerted the chief officer to the fact that the bridge was unmanned, had been switched off. Consequently, no action was taken to correct a deviation from the ship’s planned track. The master had been consuming alcohol prior to taking over the watch but the chief officer, who had previously warned the master against excessive consumption of alcohol, had been satisfied that the master was fit for watchkeeping duties.","when the sole watchkeeper left the bridge unattended and the bridge navigational watch alarm was turned off, there was no means to alert the chief officer to the fact that the bridge was unmanned

the consumption of alcohol prior to taking over the watch had an adverse effect on the master’s ability to maintain a safe navigational watch

although the chief officer had concerns about the master’s excessive alcohol consumption, he did not feel sufficiently empowered to raise the matter with the company","North shore of Rathlin Island, Northern Ireland",Grounding of general cargo vessel Ruyter,10 October 2017,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1
"On March 9, 2015, at 1230 central daylight time, the inbound bulk carrier Conti Peridot collided with the outbound tanker Carla Maersk in the Houston Ship Channel near Morgan's Point, Texas. The collision occurred in restricted visibility after the pilot on the Conti Peridot was unable to control the heading fluctuations that the bulk carrier was experiencing during the transit. As a result, the Conti Peridot crossed the channel into the path of the Carla Maersk. No one on board either ship was injured in the collision, but an estimated 2,100 barrels (88,200 gallons) of methyl tert-butyl ether spilled from the Carla Maersk, and the two vessels sustained about $8.2 million in total damage.","​​The probable cause of the collision between bulk carrier Conti Peridot and tanker Carla Maersk in the Houston Ship Channel was the inability of the pilot on the Conti Peridot to respond appropriately to hydrodynamic forces after meeting another vessel during restricted visibility, and his lack of communication with other vessels about this handling difficulty. Contributing to the circumstances that resulted in the collision was the inadequate bridge resource management between the master and the pilot on the Conti Peridot​.​","Morgan's Point, TX",Collision of the Carla Maersk with the Conti Peridot,3/9/2015,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"On March 1, 2016, about 0322 local time, the open barge SJ-199 being pushed by the tugboat Kodiak allided with the North Landing Bridge at mile marker (mm) 20.2 in Chesapeake, Virginia. Just before the allision, the tow had run over a mooring dolphin located on the north side of the river 750 yards from the bridge. Although the vessel incurred no damage, the barge and the bridge sustained an estimated total of $275,000 in damage. No pollution or injuries were reported.",​​The probable cause of the allision between the Kodiak tow and the North Landing Bridge was the mate'​s inability to safely navigate the vessel due to his inexperience in conning tows through narrow waterways.,"Chesapeake, VA",Allision of Kodiak Tow with North Landing Bridge,3/1/2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Man overboard from fishing vessel Opportune with the loss of one life, 35 miles east of Wick, Scotland on 23 February 2000. There were no eyewitnesses, but the crewman is believed to have fallen overboard while trying to retrieve part of a net which had gone over the side after he loosened it in preparation for shooting. The vessel was rolling in the stormy conditions and heavy swell at the time. He was in the water for an estimated 15 minutes before he was missed. A full air and sea search was then co-ordinated by the coastguard, and an hour after the search and rescue began the crewman was recovered from the water by helicopter. He was rushed to Caithness hospital, but was pronounced dead on arrival.","Contributory causes of the accident were: the victim probably climbed on to the net, thereby placing himself in immediate danger; he was not wearing an available working-type lifejacket; and he did not inform his colleagues before trying to retrieve the net. A risk assessment had not been carried cut on board Opportune to identify the risks involved, and the appropriate control measures to be taken.","35 miles east of Wick, Scotland",Person overboard from seine netter Opportune with loss of 1 life,23 February 2000,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"At 0811 on 21 October 2018, when navigating in severely reduced visibility in Cowes Harbour, the master of the ro-ro passenger ferry Red Falcon lost orientation when his vessel swung out of control, departed the navigable channel and was spun around through 220°. In his confusion the master drove the ferry in the wrong direction resulting in a collision with the moored yacht Greylag which was sunk on its mooring as a result.","the master became fixated upon the information displayed on his electronic chart and operating engine controls, ignored information displayed on other electronic equipment, and became cognitively overloaded due to high stress
the bridge team became disengaged from the operation due to a lack of clear communications and emergency scenario training
the hazard to people sleeping on yachts in Cowes Harbour had not been sufficiently mitigated within risk assessments","Cowes Harbour, Isle of Wight",Collision between ro-ro passenger ferry Red Falcon and moored yacht Greylag,21 October 2018,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
"On 25 August 1994, mv Sally Star, a Bahamian registered Ro-Ro passenger ferry was en route to Ramsgate from Dunkirk and in a position about 6.5 miles east of Ramsgate when fire broke out in the main engine-room. The fire was caused by the failure of a bolted flange joint on the low pressure fuel system of No 4 main engine, allowing flammable fuel oil vapour to come into contact with part of the engine exhaust system. Initial attempts to extinguish the fire were unsuccessful, mainly due to failure of the auxiliary generators and the emergency fire pump and despite the injection of halon gas into the space. However, closure of the engine-room ventilation and fuel oil systems effectively starved the fire of fuel and oxygen. The fire was finally reported as extinguished about three hours from the onset of the emergency.","the failure of covers serving the engine mounted components of the low pressure fuel system to contain the discharge of fuel oil from the failed flange
the failure of the auxiliary generators, leading to the loss of two of the vessel’s fire pumps
the failure of the emergency fire pump, due to the loss of power from the Emergency Switchboard
the loss of halon extinguishing gas due to leakage past main engine-room ventilation flaps and access hatch
the general alarm could not be rung continuously without attendance","Off Ramsgate, England",Fire in engine room of ro-ro passenger ferry Sally Star with 1 person injured,25 August 1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"At approximately 1030 on 9 November 2000, the 439gt cargo ship Wightstone, hit an unoccupied pleasure yacht, Rose Ryal, on the River Medina, Isle of Wight.","steering gear power failure when the engine stopped

the small amount of port helm that existed at the time to steer the port curve in the narrow channel.","River Medina, Isle of Wight, England","Contact made by general cargo vessel Wightstone with moored, unoccupied sailing yacht Rose Ryal",9 November 2000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The ro-ro passenger ferry Pride of Hampshire was berthed at Cherbourg on the morning of 25 September 1994 when No 2 lifeboat launching equipment failed whilst the crew were undergoing lifeboat drill. The lifeboat fell, pitching six of the 32 occupants into the water. All were accounted for, but 16 persons were taken to hospital. The cause of the accident was due to breakage of the lifeboat suspension link joining the aft lifeboat hook to the suspension chain of the fall block.","Examination of the damaged davit structure found that welded joints, crucial to the integrity of the structure, were of inferior quality with incomplete penetration and lack of fusion. These welds rendered the davits unsafe, although they did not contribute to the accident.","Port of Cherbourg, France",Failure of lifeboat suspension link on ro-ro passenger ferry Pride of Hampshire with 16 people injured,25 September 1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"About 1544 local time on December 13, 2017, the offshore supply vessel Red Dawn was transiting through the North Pacific Ocean en route to resupply the radar station Sea-Based X-Band Radar (SBX-1). When the vessel was about 375 miles south-southwest of Amchitka Island, Alaska, its no. 2 main diesel engine suffered a mechanical failure that led to the ejection of​ components from the cylinder block, consequently destroying the engine. No pollution or injuries to the 12 crewmembers and 33 passengers on board were reported. The estimated damage to the Red Dawn totaled $957,000.",​​The probable cause of themechanical failure on board offshore supply vessel Red Dawn was a connecting rod assembly on the no. 2 diesel engine that came loose and separated from the crankshaft due to improper tightening (torqueing) of the connecting rod bolts during the previous engine overhaul.​, ,Diesel Generator Failure aboard Offshore Supply Vessel Red Dawn,12/13/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"About 1340 local time on December 13, 2017, the towing vessel J.W. Herron was shifting barges on Big Bayou Canot near Twelvemile Island, approximately 8 miles north of Mobile, Alabama, when a fire began in the lower engine room and quickly spread. After the crew of three partially secured the engines and fuel supply, heavy smoke and fire prevented them from attempting to extinguish the fire, forcing an immediate evacuation of the vessel to the barges. No pollution or injuries were reported. The estimated damage to the vessel was $1.5 million.","​​The probable cause of the engine room fire aboard the towing vessel J.W. Herron was leaking lube oil from a propulsion diesel engine hose or tubing fitting that was ignited off an exposed hot engine surface or slipping clutch. Contributing to the severity of the fire was the location of the emergency engine shutdowns and fuel supply shutoffs near the exterior engine room doors, which proved to be inaccessible.Contributing to the spread of the fire was the inability to secure ventilation to the engine room.","Mobile, AL",Engine Room Fire aboard Towing Vessel J.W. Herron,12/13/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
